kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
97,3.199999,208.666661,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,208.666661,155.000000,62.624998,0.500000,-0.500000,0.500000,0.500000,4.167
98,3.233333,208.999995,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,208.999995,155.000000,62.749998,0.500000,-0.500000,0.500000,0.500000,0.000
99,3.266666,209.333328,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,209.333328,155.000000,62.874998,0.500000,-0.500000,0.500000,0.500000,4.167
100,3.299999,209.666661,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,209.666661,155.000000,62.999998,0.500000,-0.500000,0.500000,0.500000,4.167
101,3.333333,209.999994,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,209.999994,155.000000,63.124998,0.500000,-0.500000,0.500000,0.500000,0.000
102,3.366666,210.333328,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,210.333328,155.000000,63.249998,0.500000,-0.500000,0.500000,0.500000,4.167
103,3.399999,210.666661,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,210.666661,155.000000,63.374998,0.500000,-0.500000,0.500000,0.500000,4.167
104,3.433333,210.999994,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,210.999994,155.000000,63.499998,0.500000,-0.500000,0.500000,0.500000,0.000
105,3.466666,211.333328,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,211.333328,155.000000,63.624998,0.500000,-0.500000,0.500000,0.500000,4.167
106,3.499999,211.666661,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,211.666661,155.000000,63.749998,0.500000,-0.500000,0.500000,0.500000,4.167
107,3.533333,211.999994,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,211.999994,155.000000,63.874998,0.500000,-0.500000,0.500000,0.500000,0.000
108,3.566666,212.333327,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,212.333327,155.000000,63.999998,0.500000,-0.500000,0.500000,0.500000,4.167
109,3.595833,212.624994,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,212.624994,155.000000,64.109373,0.500000,-0.500000,0.500000,0.500000,0.000
110,3.629166,212.958327,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,212.958327,155.000000,64.234373,0.500000,-0.500000,0.500000,0.500000,4.167
111,3.662499,213.291661,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,213.291661,155.000000,64.359373,0.500000,-0.500000,0.500000,0.500000,4.167
112,3.695833,213.624994,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,213.624994,155.000000,64.484373,0.500000,-0.500000,0.500000,0.500000,0.000
113,3.729166,213.958327,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,213.958327,155.000000,64.609373,0.500000,-0.500000,0.500000,0.500000,4.167
114,3.762499,214.291660,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,214.291660,155.000000,64.734373,0.500000,-0.500000,0.500000,0.500000,4.167
115,3.795833,214.624994,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,214.624994,155.000000,64.859373,0.500000,-0.500000,0.500000,0.500000,0.000
116,3.829166,214.958327,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,214.958327,155.000000,64.984373,0.500000,-0.500000,0.500000,0.500000,4.167
117,3.862499,215.291660,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,215.291660,155.000000,65.109373,0.500000,-0.500000,0.500000,0.500000,4.167
118,3.895833,215.624994,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,215.624994,155.000000,65.234373,0.500000,-0.500000,0.500000,0.500000,0.000
119,3.929166,215.958327,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,215.958327,155.000000,65.359373,0.500000,-0.500000,0.500000,0.500000,4.167
120,3.962499,216.291660,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,216.291660,155.000000,65.484373,0.500000,-0.500000,0.500000,0.500000,4.167
121,3.995833,216.624993,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,216.624993,155.000000,65.609373,0.500000,-0.500000,0.500000,0.500000,0.000
122,4.024999,216.916660,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,216.916660,155.000000,65.718747,0.500000,-0.500000,0.500000,0.500000,4.167
123,4.058333,217.249993,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,217.249993,155.000000,65.843747,0.500000,-0.500000,0.500000,0.500000,0.000
124,4.091666,217.583327,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,217.583327,155.000000,65.968747,0.500000,-0.500000,0.500000,0.500000,4.167
